strain	sex	animal_id	age	HR	PR	QRS	QT	RR	ST
129S1/SvImJ	f	SC-7745	6	685	23.3	11.6	40.2	87.6	29.1
129S1/SvImJ	f	SC-7746	6	701	22.9	10	38.9	85.6	29.5
129S1/SvImJ	f	SC-7747	6	668	22.8	9.9	45	89.9	35.6
129S1/SvImJ	f	SC-7748	6	642	32.5	12.8	49.5	93.4	37.2
129S1/SvImJ	f	SC-7749	6	757	28.5	11.5	45.2	79.3	34.2
129S1/SvImJ	f	SC-7750	6	727	30.1	10.7	43	82.6	32.8
129S1/SvImJ	f	SC-7751	6	773	30.4	10.9	40.1	77.7	29.7
129S1/SvImJ	f	SC-7752	6	726	21.3	9.2	38.6	82.7	29.9
129S1/SvImJ	f	SC-648	12	670	31.1	12.9	49.8	89.5	37.4
129S1/SvImJ	f	SC-649	12	663	31.2	12	48.6	90.6	37.1
129S1/SvImJ	f	SC-650	12	669	31.3	13.2	48	89.6	35.3
129S1/SvImJ	f	SC-651	12	690	31.5	12.7	45.8	87	33.7
129S1/SvImJ	f	SC-652	12	697	30.9	11.5	41.6	86.2	30.6
129S1/SvImJ	f	SC-653	12	695	21.8	11.6	44.5	86.4	33.4
129S1/SvImJ	f	SC-654	12	747	31.6	11.8	43.6	80.3	32.3
129S1/SvImJ	f	SC-655	12	685	31.9	12	47.8	87.7	36.2
129S1/SvImJ	f	SC-799	20	744	31	10.2	41	80.7	31.3
129S1/SvImJ	f	SC-800	20	656	33.2	13.8	53.8	91.4	40.4
129S1/SvImJ	f	SC-801	20	709	30	10.8	41.3	84.6	31
129S1/SvImJ	f	SC-802	20	698	23	9.5	45.8	86	36.9
129S1/SvImJ	f	SC-803	20	753	32.3	11.2	44.5	79.7	33.8
129S1/SvImJ	f	SC-804	20	655	31.9	13.4	54	91.6	41.1
129S1/SvImJ	f	SC-805	20	739	32.9	11.9	42.2	81.2	30.8
129S1/SvImJ	f	SC-806	20	744	31.9	11.6	46	80.6	34.9
129S1/SvImJ	m	SC-7386	6	798	30.2	9.5	40.3	75.2	31.3
129S1/SvImJ	m	SC-7387	6	823	29.5	11	41.3	72.9	30.8
129S1/SvImJ	m	SC-8654	6	679	32	10.6	47.4	88.4	37.3
129S1/SvImJ	m	SC-8655	6	738	31.5	10	44.7	81.3	35.2
129S1/SvImJ	m	SC-8656	6	690	34.6	12	50.6	87	39.2
129S1/SvImJ	m	SC-8657	6	772	22.8	9.2	36.5	77.7	27.7
129S1/SvImJ	m	SC-8658	6	772	18.5	9	41	77.7	32.5
129S1/SvImJ	m	SC-663	12	749	20.3	9.4	41.8	80.1	32.9
129S1/SvImJ	m	SC-664	12	735	21.1	9.9	28.7	81.6	19.4
129S1/SvImJ	m	SC-665	12	768	29.1	12.2	45.1	78.1	33.5
129S1/SvImJ	m	SC-666	12	672	22.5	10.3	49.8	89.3	39.9
129S1/SvImJ	m	SC-667	12	738	20.2	10.8	45.9	81.3	35.6
129S1/SvImJ	m	SC-668	12	742	20.6	11.7	44.4	80.8	33.2
129S1/SvImJ	m	SC-669	12	751	20.5	11.3	45.6	79.9	34.8
129S1/SvImJ	m	SC-670	12	683	25.2	9.2	47.6	87.8	38.9
129S1/SvImJ	m	SC-745	20	685	23.9	11.6	47.5	87.6	36.4
129S1/SvImJ	m	SC-746	20	755	18.6	12.2	45.4	79.5	33.7
129S1/SvImJ	m	SC-747	20	676	33.9	12.3	45.4	88.8	33.6
